Property Size (sqft),Number of Bedrooms,Number of Bathrooms,Construction Year,Furnished,Median Household Income,Unemployment Rate,Population Density,Nearby School Quality Score,Distance to City Center (km),Distance to Nearest Park (km),Air Quality Index,Public Transport Access,Regional Price Growth (%),Historical Price Volatility,Selling Price (in $)
3235,5,2,1959,Fully,79.77,4.22,3551,Good,15.26,3.41,115.0,Medium,-4.87,9.33,773764.4425613396
1454,5,3,2001,Fully,70.57,3.53,3163,Average,38.58,4.66,134.0,Medium,0.55,1.56,510514.0643062211
3946,4,3,2022,Fully,,6.94,9123,Average,40.91,9.3,53.0,High,-2.84,9.99,797942.6916254648
1545,3,3,1995,Partially,62.97,7.3,7884,Average,44.73,7.64,142.0,High,3.48,8.08,431630.17670655914
2193,1,3,2004,Partially,93.6,3.19,3662,Average,37.94,0.84,72.0,High,7.76,4.38,614589.6390772845
3936,5,2,1995,Partially,63.35,7.93,8889,Good,28.67,5.83,180.0,Low,-1.57,7.69,1953929.3786458177
1062,1,3,2009,Partially,54.89,4.0,5578,Average,30.31,3.17,103.0,Medium,-0.22,4.39,375258.41717757337
2985,5,1,1975,None,53.72,4.26,538,Good,16.71,5.13,198.0,High,2.85,9.43,607682.9182836318
3854,2,1,1976,None,76.37,8.63,9420,Good,9.67,7.46,,High,7.62,4.4,751753.5423499482
725,1,1,1987,Partially,66.54,9.21,3665,Average,7.4,5.01,93.0,High,1.21,7.89,324607.38344321016
1459,2,1,1971,None,77.72,8.6,5279,Good,9.92,0.8,197.0,High,7.03,2.4,446287.2918945609
3567,1,1,1975,None,58.46,3.18,6686,Good,46.76,5.35,194.0,Medium,1.99,8.67,579743.6457997411
1315,3,1,2018,Partially,82.3,9.99,2624,Poor,9.06,0.34,61.0,Medium,0.16,6.58,370210.1308987415
3620,4,2,1984,Partially,77.76,7.38,7899,Poor,36.46,3.55,182.0,Medium,12.1,8.27,750705.1671428821
516,2,1,2015,Fully,68.14,6.09,4634,Good,10.05,4.83,129.0,High,2.66,4.76,434913.57644922135
1743,5,3,2022,None,84.37,9.64,6794,Excellent,48.79,6.48,175.0,High,13.37,4.12,515814.2628990663
2705,3,1,2000,Fully,83.63,8.54,4271,Good,18.96,5.11,141.0,Medium,1.11,5.79,706172.464052063
3024,1,2,1967,Fully,76.38,7.53,6038,Poor,21.19,1.6,121.0,Medium,5.86,4.49,646999.542099866
1569,2,1,1992,Partially,88.31,8.71,3757,Good,20.82,9.33,95.0,High,-3.93,5.63,452028.63124628336
3944,1,3,1961,None,91.66,5.08,6961,Poor,41.01,6.54,121.0,Medium,8.61,4.88,743933.1361258426
3065,1,3,1952,Partially,63.17,7.48,5888,Excellent,11.7,3.24,142.0,High,10.91,2.77,665734.893087368
1560,1,2,1956,None,91.99,3.52,8400,Good,41.72,9.66,170.0,High,14.43,9.79,863593.6800323459
2827,4,2,1955,None,61.51,9.9,1744,Good,33.2,8.84,67.0,Medium,11.73,1.14,694248.7128184643
3920,4,2,1994,Partially,,6.71,1157,Good,11.79,1.52,,High,1.25,9.33,838883.6081248581
801,5,2,1988,Partially,89.21,8.51,2199,Poor,4.2,6.59,92.0,Low,6.13,8.45,462489.88081951364
4776,2,1,2000,Partially,72.38,5.26,4956,,38.97,5.64,128.0,Low,6.84,4.79,795169.7205050725
1106,3,1,1958,None,74.2,8.07,6568,Good,11.73,2.01,126.0,High,-3.86,3.9,362435.515132164
3670,3,3,1972,None,70.51,5.1,8547,Good,44.56,2.41,199.0,Low,-3.55,2.48,1278762.6683223846
1199,3,2,1961,None,62.63,6.72,6463,Average,7.36,5.68,109.0,Medium,1.52,2.2,444855.7055266458
1639,1,2,2011,Fully,65.43,8.23,6735,Good,31.2,3.28,112.0,Low,9.89,5.96,426651.43182783487
690,4,1,2022,Partially,82.45,2.93,5035,Average,34.92,8.36,73.0,Low,0.71,1.95,455696.4067871577
2800,2,2,1989,Fully,87.84,4.85,7773,Excellent,33.23,1.07,,Low,12.48,5.29,683912.3314848327
1480,1,3,2003,Partially,74.78,6.36,2476,Good,16.49,9.15,178.0,High,7.9,8.33,1445969.6035062743
3475,4,3,1956,None,59.85,4.67,8437,Excellent,43.9,8.42,173.0,Medium,4.36,7.81,685991.3231075946
1684,4,2,1966,Partially,57.81,4.47,4169,Excellent,38.72,7.41,50.0,Medium,5.81,2.19,532753.6507373145
3827,2,3,1999,Fully,73.41,4.25,4692,Good,26.0,2.7,122.0,High,1.63,9.65,764787.1951891878
3894,2,3,1973,Fully,67.09,3.82,1437,Poor,30.56,7.18,70.0,Low,14.48,3.58,790519.3286728025
627,2,1,1951,Partially,92.79,8.79,6096,Excellent,28.75,4.44,195.0,Low,-1.48,7.35,466823.77064743015
2565,1,3,1982,Fully,64.47,9.39,1789,Good,47.39,6.37,146.0,Low,12.21,3.7,571986.1340716169
2316,5,2,1970,Partially,83.96,7.6,5170,Good,44.92,3.19,101.0,Medium,8.56,6.56,613754.5444690429
1069,2,2,2002,None,65.69,2.24,2650,Average,12.54,8.37,115.0,High,9.23,6.15,490894.4437168285
2395,5,3,1995,Partially,,8.29,7921,Average,13.88,0.5,164.0,Medium,11.72,2.6,577192.685619765
3233,1,2,1994,Partially,77.58,6.26,9204,Average,49.09,6.95,137.0,Medium,-2.28,6.87,706219.9668202841
4363,5,1,1958,Partially,,8.06,2016,Excellent,12.59,8.3,111.0,Medium,8.9,3.93,854105.6114419247
4514,3,3,1955,None,81.34,5.5,1904,Average,47.72,6.5,68.0,High,10.53,6.5,817491.1029796514
3401,5,3,2000,Fully,66.6,2.33,4992,Average,32.84,2.0,51.0,High,14.69,5.87,670303.0856554203
2186,2,3,1984,None,76.51,7.45,6670,Good,3.46,2.92,104.0,Medium,9.95,8.58,617257.6427748417
3509,1,2,2002,Partially,69.38,5.55,2853,Good,17.45,5.2,128.0,High,14.04,2.92,706394.8698987649
654,2,2,1968,Fully,53.53,8.99,1080,Average,24.33,3.36,60.0,Medium,11.99,2.36,344180.0547781311
3037,3,3,2018,Fully,78.43,7.91,3829,Good,41.82,0.15,193.0,Medium,12.51,8.69,669306.8719891468
1909,2,2,1974,Fully,93.94,4.88,8793,Good,17.1,0.5,134.0,High,13.34,5.0,729106.1578791834
4557,2,2,1960,None,98.16,7.79,5050,Good,16.22,7.7,76.0,Medium,5.62,8.04,930150.931452552
1284,2,3,1966,Partially,79.76,5.96,3463,Good,46.09,0.93,71.0,Medium,9.22,9.64,488037.4464116609
3675,4,3,1985,Partially,78.78,3.6,798,Good,4.87,9.29,52.0,Low,-2.52,5.9,923301.8977029276
4841,3,2,1970,Partially,35.71,5.36,4616,Average,28.02,4.48,52.0,High,2.13,3.71,785099.0651734339
3306,2,3,1967,None,115.91,3.78,544,Average,25.71,7.61,198.0,Medium,12.59,8.15,847402.6393809391
1037,2,3,2009,None,96.46,2.04,8147,Good,3.81,1.34,92.0,Low,14.55,9.38,545870.304784179
2341,2,3,1967,Partially,86.39,3.97,3043,Good,5.3,9.27,138.0,High,-2.77,3.21,685733.2802811301
2955,1,3,1950,Partially,,3.68,4359,Average,19.72,0.43,86.0,High,6.72,7.2,663555.4097545085
1024,4,2,1963,None,41.54,2.03,5278,Average,7.57,0.52,143.0,Medium,9.69,8.03,426738.1437232115
3450,1,3,1957,None,77.73,8.27,4894,Good,24.43,0.64,88.0,High,5.32,1.24,1384734.0276710214
4631,4,1,2015,Partially,75.48,2.62,4052,Average,30.84,1.12,197.0,Medium,-0.34,6.33,835029.2303266674
4615,2,3,2000,Fully,53.86,5.59,3655,Average,34.88,4.92,114.0,Low,-4.17,6.7,696293.9171020685
2868,3,1,2009,None,81.72,5.34,787,Good,27.78,7.9,92.0,High,14.03,6.73,660587.4534196813
4347,5,3,1983,Fully,93.55,3.45,4205,Good,19.6,2.92,70.0,High,-0.26,1.76,1010873.6499608072
4995,5,1,1985,Fully,80.11,9.73,1016,Excellent,7.36,7.48,59.0,High,0.98,1.2,1085842.4233102177
3201,2,1,2011,None,80.06,6.83,2701,Poor,13.13,7.76,94.0,High,7.86,3.64,694221.3666215083
1471,1,3,1950,Partially,81.02,8.51,7077,Excellent,21.55,9.09,142.0,Medium,3.57,4.22,574793.0194136924
1666,3,3,1991,None,70.16,5.97,8602,Excellent,46.28,1.58,52.0,High,3.47,2.3,438343.06061234226
3274,4,3,1950,Partially,86.38,7.78,4158,Good,10.93,1.44,,Low,-3.35,5.59,688275.885734968
2482,2,1,2003,None,97.86,9.76,7422,Average,21.25,1.31,90.0,Medium,14.84,3.05,718545.8215936053
1353,3,2,1996,Partially,75.62,4.79,4786,Good,36.88,3.66,170.0,High,0.69,4.04,471031.21907856304
4646,3,2,1988,None,63.67,6.03,4436,Average,35.55,4.95,156.0,High,-2.8,3.64,760747.5031654742
4236,4,3,1979,Partially,54.22,6.12,9861,Average,48.31,4.67,58.0,High,8.63,7.95,690997.9366772051
4269,3,2,1956,Fully,82.51,9.94,1490,Average,10.35,2.64,193.0,High,10.04,8.89,874426.8117308232
1074,1,2,1971,Partially,84.21,3.86,5471,Average,1.81,6.26,173.0,High,-4.49,3.69,388385.11721270485
3761,1,3,1999,None,80.46,7.4,8221,Excellent,16.79,3.45,162.0,Medium,0.38,4.39,701834.6336126876
1648,1,1,1994,Fully,71.47,3.11,2351,Poor,8.33,3.72,170.0,Medium,-1.11,8.34,441401.1477562817
2215,3,3,2021,Partially,79.16,9.42,8689,Average,27.87,1.14,96.0,Low,10.78,7.83,621676.9951567133
4354,1,2,1959,Fully,66.97,6.72,3209,Poor,45.04,5.96,77.0,Medium,-1.32,7.38,737554.3283716158
2991,4,1,1963,Fully,64.34,8.88,4507,Average,34.72,6.59,,High,-0.3,7.37,624806.3915299001
3160,3,2,1995,Partially,60.06,9.16,3121,Average,7.65,7.6,143.0,Medium,14.74,3.67,643101.2836290296
3624,5,1,1955,None,60.21,6.46,2678,Good,6.69,9.05,188.0,High,9.04,9.43,773267.3494053985
3551,3,2,1970,Partially,82.96,7.46,1338,Good,45.66,7.68,78.0,High,2.75,8.28,654208.9279123168
504,4,3,2011,Partially,70.96,7.59,9914,Good,24.89,2.43,106.0,Medium,10.08,2.91,377619.34127962036
1376,5,2,1968,None,64.78,5.68,5434,Excellent,46.26,2.43,123.0,Medium,4.33,6.96,405901.7775030817
1491,3,2,2011,Partially,54.57,5.48,8604,Average,37.07,9.16,,Medium,-0.75,2.39,403623.5771102822
4642,1,1,2002,Partially,85.07,3.49,7838,Excellent,49.67,7.92,108.0,Low,4.76,6.2,800863.404997657
4864,2,2,1973,Fully,91.05,5.07,1668,Excellent,43.69,7.84,84.0,Low,10.44,3.6,955863.7982276288
4965,2,3,2005,Partially,59.64,9.93,7848,Average,21.3,7.23,85.0,High,-1.43,1.95,826738.4263385609
1135,1,3,2011,Partially,73.13,4.16,1447,Poor,38.15,2.75,126.0,Medium,4.71,6.43,395113.01973250933
2193,2,3,1983,Partially,61.01,8.1,660,Average,24.09,8.49,107.0,Low,-2.61,8.96,476268.7833485319
2182,2,1,1971,None,72.87,2.47,3127,Average,12.42,1.51,51.0,Medium,11.85,2.27,603240.8770231982
619,1,1,2017,Partially,84.12,5.74,3035,Good,12.81,3.57,77.0,Medium,11.38,9.09,404716.20056023065
1330,1,2,2006,Fully,99.28,2.47,2772,Average,20.47,3.53,119.0,Low,8.47,2.15,606909.6246456202
4175,3,2,1959,None,68.29,5.81,3963,Good,6.46,5.65,112.0,High,13.4,7.68,739942.3485764497
1869,3,2,2015,Partially,85.5,2.22,5304,Poor,9.71,4.69,109.0,High,3.0,9.91,610307.1728355985
1240,1,1,1957,None,85.86,6.91,660,Excellent,25.53,4.65,139.0,Medium,-2.36,1.84,438202.93863164354
616,4,1,1987,Partially,72.73,6.69,2284,Average,47.74,5.58,153.0,Medium,14.51,2.91,318697.7036056459
3338,2,2,2011,Fully,92.4,8.38,7098,Average,29.31,4.21,165.0,High,5.26,5.17,1230520.2330755044
1650,3,1,1977,Partially,70.08,6.67,3682,Good,21.02,2.57,92.0,High,4.51,7.64,461768.4540236786
2431,2,1,1959,Partially,81.53,9.41,4124,Average,12.89,6.67,182.0,High,-3.73,9.08,482071.88435999624
1512,5,3,1994,Fully,66.4,8.26,9458,Average,10.6,7.93,65.0,Medium,6.41,7.56,565089.4392705503
2164,1,3,2014,Partially,82.97,3.06,2527,Average,33.26,4.84,101.0,High,7.89,7.94,627451.8392410245
1581,4,2,2016,Partially,81.47,4.12,8876,Excellent,42.57,6.53,120.0,High,4.46,5.07,540270.1189412163
1012,5,2,1958,Partially,,2.21,2396,Excellent,20.54,5.4,52.0,High,13.21,4.2,499140.5619464512
3349,5,3,1954,Fully,102.53,5.09,2904,Excellent,27.98,0.68,138.0,High,9.85,5.57,878099.8741010656
1059,5,1,1959,Partially,88.74,6.08,3039,,35.63,4.29,187.0,High,-4.23,6.85,448082.67029559164
4172,1,2,1961,Fully,85.06,9.57,1232,Good,3.86,0.2,100.0,High,5.85,5.52,1531075.2915995766
3843,3,2,2007,Partially,69.14,6.18,1077,Average,18.19,6.65,182.0,Medium,14.87,8.11,726463.2375022839
4570,1,2,1970,Fully,41.02,8.25,2661,Good,36.76,5.13,167.0,Medium,-1.01,2.41,662181.8937304734
1970,3,1,1970,Fully,94.47,4.14,9069,Average,34.55,1.36,189.0,High,7.34,4.57,609522.2558157697
1080,5,3,2014,Partially,102.84,3.23,4348,Good,3.61,5.47,,Medium,0.47,1.6,686081.7034273962
2794,5,2,1952,Fully,79.69,8.49,1808,Good,12.65,8.99,108.0,Low,2.43,7.04,797675.4092710738
3647,4,3,2018,Partially,59.91,3.98,1341,Excellent,34.32,3.47,101.0,High,-4.33,7.81,1096387.8642988445
4749,3,3,2013,None,95.67,8.97,2671,Average,14.3,9.83,96.0,Low,8.76,7.01,911072.731585322
2179,5,1,1998,Partially,91.58,3.36,8847,Average,40.91,9.6,154.0,High,10.31,9.6,710511.7604479793
4006,2,1,2021,Partially,44.44,8.81,6753,Good,2.45,7.87,98.0,High,10.46,9.39,633867.8433944705
3244,4,1,1966,None,77.11,8.18,3885,Good,10.33,8.16,105.0,High,14.41,3.43,770886.2081153915
3856,1,1,2022,None,78.64,6.89,5321,Good,14.78,4.16,80.0,Medium,11.76,3.19,726078.442943888
4545,4,1,1981,None,50.93,8.8,6313,Average,46.34,4.09,119.0,High,-0.85,1.23,683166.0720428432
1743,2,1,2019,Fully,58.82,4.65,1913,Average,40.02,9.55,125.0,Medium,-0.39,5.52,313444.04547201213
3618,3,2,1970,Partially,91.37,3.33,544,Average,44.32,3.73,130.0,Low,10.36,8.75,791935.5960597491
2641,1,3,1956,None,76.05,3.26,2186,Good,22.58,1.06,123.0,High,10.54,2.42,667978.5318282815
3559,1,1,1956,None,60.75,4.16,5736,Excellent,41.31,1.61,158.0,Low,-2.54,6.34,579018.1050848142
3459,3,2,1976,Partially,64.96,5.57,7125,Excellent,42.82,7.13,54.0,High,-4.87,7.48,712216.2698649941
2765,4,3,1957,Fully,56.98,9.01,3225,Excellent,20.6,3.89,53.0,Low,3.03,4.31,706169.0002838448
2979,5,1,2022,None,76.13,2.72,8509,Excellent,49.73,2.07,192.0,Low,8.89,7.33,672410.3898461668
2135,4,1,1977,Partially,86.28,9.32,4514,Excellent,42.71,8.16,179.0,High,12.33,8.54,591506.921765634
2257,2,2,2015,Partially,92.65,9.4,6280,,48.73,4.94,105.0,Medium,-1.69,1.09,585173.2865150992
4952,5,3,2020,Partially,64.98,7.82,5095,Good,43.46,5.72,185.0,High,11.31,7.62,823667.9751417714
2570,4,1,1996,Partially,69.69,9.2,8765,Good,39.03,1.62,65.0,High,8.69,6.4,529986.1153979027
3349,3,3,1959,Fully,82.52,8.16,3518,Good,47.25,2.01,73.0,Medium,-1.68,8.6,674227.1281249485
3751,2,2,1982,Partially,89.29,6.23,6792,Average,21.57,1.35,104.0,Medium,12.47,2.25,746853.7613704646
4230,2,1,1956,None,80.56,6.81,2060,Average,39.38,5.19,118.0,Medium,13.66,8.26,751398.2555810976
2989,2,3,1952,Partially,94.01,7.03,9583,Good,11.43,7.78,109.0,Medium,0.32,2.27,820156.4221976977
2131,5,2,1963,Partially,102.25,3.02,9938,Average,36.91,7.35,69.0,High,-2.03,6.26,674746.8100758049
3316,1,2,1993,None,50.55,3.54,972,Poor,39.48,2.69,103.0,Medium,14.35,3.44,587613.8361480722
1515,5,1,1995,Partially,97.79,6.19,5935,Good,36.11,8.53,186.0,High,-4.54,3.16,586743.8899313986
1848,4,3,2010,Partially,94.48,2.92,2717,Excellent,42.64,1.15,129.0,High,13.97,5.49,636200.9478757656
3587,1,1,1985,Partially,57.37,9.72,9392,Average,21.25,1.23,193.0,High,-0.68,7.82,605144.5596495894
3339,4,1,1962,Fully,81.96,6.06,552,Poor,27.69,8.51,119.0,Medium,3.76,6.81,665652.4485988272
835,1,3,1965,Fully,84.54,5.04,3487,Excellent,1.52,2.52,183.0,High,1.17,9.9,498063.6543120585
1395,5,3,1954,Partially,58.65,3.26,8830,Excellent,8.16,7.11,84.0,High,-1.93,2.07,499645.04496539413
4046,2,3,1987,None,74.08,5.33,2637,Average,32.57,0.19,154.0,High,2.05,7.5,821011.898596388
1351,3,2,1999,None,77.35,4.42,1327,Good,28.55,1.03,180.0,Medium,5.78,1.5,508344.2439137114
2187,2,2,1987,Fully,58.8,2.7,8664,Poor,10.67,6.13,70.0,High,-3.12,4.22,564563.4146188027
2431,5,3,2005,Partially,69.92,9.74,1748,Good,12.93,1.91,184.0,High,11.18,4.09,629275.6249458316
4246,1,2,2012,Fully,96.02,4.12,5335,Average,17.86,0.38,127.0,High,11.01,3.31,834563.1054800982
2927,2,1,1997,Partially,100.25,7.52,8877,Excellent,36.1,4.72,71.0,Medium,10.95,5.79,699717.2558181776
2068,5,3,2008,Fully,58.45,2.73,3942,Good,30.88,3.37,191.0,Medium,8.73,3.19,470020.8041150257
4500,4,1,1993,None,35.03,9.31,7902,Poor,4.41,8.04,138.0,High,4.11,4.31,648737.9128937123
3238,3,3,2004,Fully,93.56,6.73,3693,Good,38.24,8.21,116.0,High,11.67,8.74,685194.8581250318
3998,2,1,2004,Fully,102.34,7.25,5428,Excellent,13.87,6.18,182.0,Medium,12.04,3.91,857018.2737587212
4413,1,3,1950,Partially,88.15,8.25,8096,Average,33.92,3.0,164.0,Medium,0.71,9.87,880303.9861425181
1566,4,1,1957,Fully,70.69,6.85,3416,Excellent,7.04,4.67,108.0,Medium,4.62,3.48,520811.4714844878
4880,5,3,1953,None,58.74,2.57,9707,Excellent,49.9,7.05,186.0,Medium,-0.94,9.13,787018.5061760736
2944,3,3,2002,None,84.25,5.44,5037,Good,4.94,0.79,151.0,High,0.12,4.88,1444333.0864236935
4607,1,2,2007,Fully,90.82,4.1,7551,Average,37.34,3.39,86.0,High,-0.22,9.17,760231.9941427696
3873,5,1,1986,Partially,65.1,5.89,6145,Average,27.53,8.24,117.0,Medium,11.54,4.84,686851.0908415715
4469,5,2,1998,None,,5.23,4761,Average,5.21,4.12,197.0,Low,0.02,7.93,922435.3045833762
3046,2,1,2016,None,68.48,8.61,2435,Good,2.31,6.28,134.0,Medium,5.93,4.6,692788.0554565667
1253,2,2,1968,None,86.31,3.98,8541,Good,18.77,1.05,73.0,Medium,7.56,6.59,524574.4572497855
2582,1,3,1950,Fully,44.12,3.61,5038,Good,40.31,7.79,173.0,Low,9.89,1.46,401071.31340517726
3274,5,2,1978,Fully,80.95,9.66,4926,Average,3.02,1.09,175.0,Medium,-4.42,6.39,774036.7930259872
3396,2,2,1982,Fully,69.51,9.6,1858,Average,35.52,8.63,98.0,Low,4.51,3.84,746702.9492747874
4685,3,3,2001,Partially,102.48,9.95,2269,Poor,33.11,1.16,185.0,Low,0.85,9.97,990371.9903727402
1275,3,2,1990,None,79.68,6.55,9881,Poor,14.01,8.92,124.0,Medium,11.68,8.3,479002.5112724622
2125,5,3,1972,Fully,85.62,2.91,1692,Good,4.8,3.7,159.0,Medium,-4.27,1.72,689601.598660611
3569,2,1,1954,Partially,60.85,9.04,3316,,45.85,6.28,55.0,Low,-0.86,2.78,649416.6185303101
917,1,2,2020,Fully,71.68,3.16,6767,Average,15.72,8.48,89.0,Medium,1.32,6.54,428200.1441788931
614,1,3,2006,None,80.92,3.24,7525,Excellent,6.46,0.2,130.0,Medium,-3.44,3.7,358526.2311877035
1116,1,3,1955,Fully,69.61,3.55,5356,Excellent,34.39,2.73,158.0,Low,2.91,2.92,438058.160426984
4474,3,2,1998,Fully,71.37,7.23,5717,Average,11.62,9.09,194.0,Medium,9.88,4.2,898949.6802615855
3767,2,1,1971,Partially,78.94,2.86,1542,Good,24.31,3.94,100.0,Medium,-0.75,1.96,746467.517731664
1325,2,2,1953,Fully,49.3,8.23,5743,Good,3.47,7.09,51.0,High,10.09,5.99,400428.2551103623
2016,3,3,2021,Partially,67.13,2.47,8917,Good,49.66,1.49,99.0,Medium,5.58,3.55,597187.4733259381
3646,1,1,2013,Partially,86.83,2.88,7255,Average,22.93,6.82,193.0,Low,1.89,8.8,741825.6448419808
912,1,2,1986,None,69.1,5.48,6967,Excellent,49.96,0.82,132.0,Medium,2.38,1.29,373390.5019702998
1228,5,3,1980,Partially,110.05,5.03,4477,Average,19.9,7.2,94.0,Low,-2.67,4.16,710002.1692688492
3848,4,2,1986,Partially,76.36,9.92,2383,Good,18.04,3.31,82.0,High,-0.0,5.95,792923.2015335511
3308,2,1,1994,None,47.22,9.73,1040,Average,45.81,4.71,177.0,High,9.62,3.12,455898.3357630994
1175,2,1,1957,None,81.66,3.52,9337,Good,17.14,1.75,,Medium,12.25,1.52,407448.6215805774
3965,2,1,1989,Partially,59.16,9.57,5585,,22.17,6.32,84.0,High,0.31,1.65,623713.042926596
3004,4,1,1954,Partially,80.1,7.54,5301,Good,4.83,3.44,134.0,High,6.77,2.43,708384.7418752646
3467,5,1,1977,Partially,66.51,5.27,5226,Poor,47.82,3.9,137.0,High,-4.31,3.45,698499.3071768847
3286,4,2,1958,Partially,67.51,7.92,7522,Average,5.17,6.56,150.0,Medium,-3.45,7.35,740870.6358680322
1622,1,1,1951,None,90.53,9.2,2188,Good,38.79,1.87,109.0,Low,14.29,5.27,474151.8460565168
4579,1,1,2012,None,51.25,3.44,9546,Good,27.39,8.53,78.0,High,12.93,1.3,691934.4068489118
2071,2,3,2000,Fully,67.72,3.57,7134,Good,4.01,7.42,67.0,High,-3.37,2.4,541501.1375071516
2643,3,1,1980,Fully,66.04,5.27,904,Average,1.08,5.82,97.0,Low,11.45,4.31,575416.083631366
2187,2,3,1956,Fully,95.06,3.35,3843,Good,46.84,1.37,60.0,Low,-2.95,4.78,643877.3729393389
4632,3,3,1979,Fully,69.77,4.88,8311,Good,37.37,6.9,180.0,Low,11.57,1.57,895659.4231315347
4351,4,3,2007,Fully,60.88,7.17,7518,Average,34.64,0.28,195.0,High,13.27,2.09,699989.0497499444
3940,1,2,1952,Partially,78.47,8.5,9211,Average,22.49,8.06,65.0,Medium,-1.94,3.36,813576.3994945673
4266,3,2,2000,Fully,61.59,4.42,1907,Excellent,12.69,3.11,90.0,High,-2.06,8.53,795242.3968386931
2826,4,3,2005,Partially,63.76,4.25,9512,Excellent,34.31,1.26,92.0,Medium,13.53,2.88,1393292.007328561
3414,1,2,2022,Fully,85.35,8.24,7530,Excellent,30.81,1.73,140.0,Medium,1.03,3.04,679227.7735912756
4452,3,1,1959,Fully,32.01,5.05,7859,,36.59,9.64,80.0,Medium,4.45,5.45,650291.1795197246
1095,2,2,2010,Partially,60.54,8.55,5030,Good,18.92,7.76,77.0,Medium,1.09,9.02,372302.6961651488
1228,2,1,1999,None,64.85,9.95,8428,Average,49.36,2.45,100.0,Low,9.99,5.75,358785.80449572875
1865,2,1,1996,Partially,98.18,9.84,4567,,4.28,9.64,,High,-0.78,1.71,586684.6019003547
4992,4,2,1950,Partially,81.68,7.3,6706,Excellent,4.91,1.49,58.0,High,4.88,2.68,1023591.1801246043
1198,2,2,2006,Partially,74.52,5.0,2681,Good,45.93,7.36,170.0,Low,12.01,8.7,319962.7727526052
895,5,3,1987,Fully,,2.52,3732,Poor,32.74,6.6,173.0,Medium,13.85,8.89,511229.3847748749
4671,1,2,2011,Partially,76.85,7.9,9116,Good,16.99,8.23,109.0,High,2.05,8.16,855013.6389206265
4860,4,2,2019,Fully,78.68,9.82,2051,Poor,38.34,3.88,106.0,High,-2.72,5.88,865689.1147595968
3002,2,2,2014,Partially,76.88,2.54,857,Excellent,23.19,4.08,163.0,High,11.19,4.95,693581.0814130148
2319,1,1,2011,Partially,104.2,2.05,2094,Excellent,2.03,6.28,117.0,Medium,-2.78,3.41,716474.1471935702
1217,3,1,2005,Partially,,8.65,5628,Average,32.9,4.04,100.0,High,10.59,5.93,432842.36806173093
3282,2,1,2016,Fully,77.62,2.82,9702,Good,12.91,0.51,107.0,Low,8.78,7.15,735873.8211719678
4077,1,3,1966,None,75.57,2.65,8888,Average,6.65,7.32,97.0,Medium,6.55,6.39,812335.3354929853
643,5,3,1957,Fully,89.09,9.28,9725,Average,12.04,6.45,108.0,Low,13.79,3.03,507253.2954434238
3640,3,3,2009,Fully,64.6,2.64,9553,Good,24.33,4.29,125.0,High,1.45,9.13,719452.2442299334
4991,5,1,1989,Partially,69.5,2.91,848,Average,3.44,3.1,96.0,High,-3.13,4.51,1003618.9213812613
3438,1,2,2011,Partially,52.33,6.56,2158,Average,44.27,3.28,192.0,Low,14.63,8.96,607088.9228916626
4136,5,3,1990,Fully,89.81,8.05,9266,Average,28.44,7.44,160.0,High,3.82,4.58,902749.9604808008
3722,1,3,1961,Partially,52.16,5.2,2319,Good,15.36,7.32,161.0,High,3.67,1.35,511739.5955051546
1667,1,1,2003,None,83.09,5.36,6971,Excellent,34.66,8.21,121.0,Medium,-3.21,7.64,394495.3954198694
3116,5,3,1960,Fully,100.22,7.06,6381,Good,40.41,7.65,,Medium,9.87,9.28,823980.3382710534
1562,1,2,2009,Partially,103.89,6.04,7155,Poor,31.08,7.6,144.0,High,9.4,3.29,1668634.51379566
2656,2,1,2017,Fully,70.41,2.15,9622,Excellent,10.92,2.59,51.0,Medium,-2.09,5.88,593853.7172656304
3482,1,1,1995,Partially,69.81,2.91,4508,Good,6.4,1.11,128.0,High,-0.32,8.27,695380.729325455
3794,4,2,1987,Fully,73.89,6.65,6543,Good,43.14,7.64,89.0,High,-4.67,3.89,700996.4149489994
1656,1,2,2010,None,88.51,8.35,983,Average,12.5,1.08,97.0,Low,12.79,3.58,813628.3298959661
1232,4,2,1966,Partially,73.02,8.1,4412,Good,1.98,9.82,106.0,High,-0.11,4.7,490948.3102503376
4830,1,3,2015,None,70.89,7.92,857,Good,32.5,8.76,61.0,Low,13.54,5.96,844244.7839983071
1453,1,2,2021,Fully,91.09,8.17,8945,Average,8.49,5.38,117.0,Medium,6.42,5.97,618530.6851101345
3039,5,1,1985,None,75.66,2.36,9526,Excellent,49.56,3.59,123.0,High,3.51,5.38,655119.777505797
3824,2,2,1956,None,72.7,9.16,1690,Excellent,43.62,5.32,78.0,Medium,-4.84,8.38,697366.2809751328
3801,2,1,1965,None,61.86,9.11,5064,Good,30.81,7.37,141.0,Medium,-3.15,2.38,1852450.5703502346
2042,3,1,1963,None,90.41,6.26,6479,Good,41.86,7.59,78.0,Medium,-1.83,1.77,607985.4567156375
1691,5,3,1974,Fully,78.71,3.99,9184,Good,24.06,0.83,132.0,High,-2.89,2.52,621629.8865173897
3493,5,2,1953,Partially,74.82,6.74,3909,Excellent,39.64,8.07,164.0,High,0.12,7.34,760298.0747605073
3181,2,3,1978,Partially,47.07,6.46,8743,Good,32.68,6.45,156.0,Medium,-1.91,2.31,536788.1445077966
1717,5,2,2005,Partially,89.32,3.78,8953,Average,2.4,0.5,190.0,Medium,8.28,3.91,658562.7007448275
